food_name,food_category,portion_size,portion_unit,calories,protein,fat,carbohydrates,fiber,vitamin_a,vitamin_c,vitamin_d,vitamin_e,calcium,iron,potassium,sodium
chicken_breast,protein,313.1,g,534.8,100.5,11.7,0.0,0.0,19.4,0.0,0.0,0.7,48.6,3.4,829.7,239.8
cucumber,vegetable,350.0,g,55.9,2.4,0.3,14.0,1.7,366.9,9.8,0.0,0.1,55.9,1.0,513.7,7.0
quinoa,grain,448.6,g,524.2,19.2,8.3,96.1,12.2,0.0,0.0,0.0,2.8,74.3,6.5,751.3,30.6
salmon,protein,75.9,g,150.6,18.1,8.7,0.0,0.0,107.9,2.8,8.0,2.6,6.5,0.2,262.8,42.7
cheese,dairy,174.9,g,730.5,45.4,60.0,2.4,0.0,481.6,0.0,1.1,0.4,1310.2,1.2,178.1,1128.5
broccoli,vegetable,37.8,g,12.5,1.0,0.1,2.6,1.0,228.3,32.7,0.0,0.3,17.2,0.3,115.8,12.1
rice,grain,442.9,g,599.8,12.5,1.4,129.2,1.8,0.0,0.0,0.0,0.5,46.1,0.9,161.5,4.6
milk,dairy,374.8,g,161.5,13.1,3.8,19.2,0.0,176.9,3.5,4.6,0.3,434.5,0.1,576.7,169.2
pasta,grain,26.3,g,33.1,1.3,0.3,6.3,0.5,0.0,0.0,0.0,0.0,1.8,0.3,11.1,1.5
oatmeal,grain,420.2,g,278.7,9.8,5.7,49.2,7.0,0.0,0.0,0.0,0.3,200.8,2.5,250.0,200.8
chia_seed,nut,398.2,g,1863.3,65.2,118.9,161.0,131.9,0.0,6.1,0.0,1.9,2419.2,29.6,1560.4,61.3
tofu,protein,133.2,g,102.4,10.8,6.5,2.6,0.4,0.0,0.0,0.0,0.0,175.1,1.9,163.0,9.4
cream,dairy,407.4,g,1375.1,8.5,149.6,11.3,0.0,392.3,2.4,2.0,3.1,262.9,0.2,384.2,173.9
egg,protein,146.4,g,229.2,19.2,16.3,1.6,0.0,236.6,0.0,3.0,1.6,82.8,2.6,204.0,183.3
peanut,nut,194.5,g,1117.3,51.2,96.6,31.5,16.7,0.0,0.0,0.0,16.4,181.3,9.0,1389.2,35.5
chicken_breast,protein,145.7,g,238.8,44.9,5.2,0.0,0.0,8.7,0.0,0.0,0.3,21.7,1.5,370.5,107.1
strawberry,fruit,433.9,g,135.8,3.0,1.3,33.9,8.5,4.2,249.5,0.0,1.2,67.9,1.7,649.2,4.2
cucumber,vegetable,79.8,g,12.3,0.5,0.1,3.1,0.4,80.8,2.2,0.0,0.0,12.3,0.2,113.1,1.5
butter,dairy,152.8,g,1043.3,1.3,117.9,0.1,0.0,995.3,0.0,2.2,3.4,34.9,0.0,34.9,16.0
yogurt,dairy,92.7,g,54.1,9.2,0.4,3.3,0.0,24.7,0.5,0.1,0.1,100.8,0.1,129.2,33.0
cucumber,vegetable,310.5,g,48.4,2.1,0.3,12.1,1.5,317.8,8.5,0.0,0.1,48.4,0.8,444.9,6.1
strawberry,fruit,458.0,g,144.4,3.2,1.4,36.1,9.0,4.5,265.3,0.0,1.3,72.2,1.8,690.2,4.5
grape,fruit,294.9,g,186.1,1.8,0.6,48.0,2.7,9.0,9.6,0.0,0.6,30.0,1.1,573.2,6.0
quinoa,grain,340.9,g,411.2,15.1,6.5,75.4,9.6,0.0,0.0,0.0,2.2,58.3,5.1,589.4,24.0
tomato,vegetable,357.2,g,63.8,3.2,0.7,14.2,4.3,2954.3,48.6,0.0,1.9,35.5,1.0,840.5,17.7
chia_seed,nut,222.1,g,1080.1,37.8,68.9,93.3,76.5,0.0,3.6,0.0,1.1,1402.4,17.2,904.5,35.6
apple,fruit,352.3,g,190.5,1.1,0.7,51.3,8.8,11.0,16.8,0.0,0.7,22.0,0.4,391.9,3.7
beef,protein,328.2,g,857.3,89.2,51.4,0.0,0.0,0.0,0.0,0.0,0.4,61.7,8.9,1090.4,246.9
almond,nut,253.2,g,1528.2,55.4,132.0,58.1,33.0,0.0,0.0,0.0,67.6,710.0,9.8,1934.6,2.6
quinoa,grain,68.9,g,79.0,2.9,1.3,14.5,1.8,0.0,0.0,0.0,0.4,11.2,1.0,113.3,4.6
rice,grain,304.2,g,379.3,7.9,0.9,81.7,1.2,0.0,0.0,0.0,0.3,29.2,0.6,102.1,2.9
grape,fruit,45.2,g,28.8,0.3,0.1,7.4,0.4,1.4,1.5,0.0,0.1,4.6,0.2,88.8,0.9
orange,fruit,173.7,g,83.6,1.6,0.2,21.4,4.3,400.5,94.7,0.0,0.3,71.2,0.2,322.1,0.0
carrot,vegetable,334.0,g,134.6,3.0,0.7,32.8,9.2,2741.1,19.4,0.0,2.2,108.3,1.0,1050.5,226.5
orange,fruit,480.7,g,230.0,4.4,0.5,58.7,11.7,1100.9,260.3,0.0,0.9,195.7,0.5,885.6,0.0
banana,fruit,454.4,g,401.1,5.0,1.4,103.7,11.7,13.5,39.2,0.0,0.5,22.5,1.2,1613.4,4.5
orange,fruit,281.1,g,134.4,2.6,0.3,34.3,6.9,643.4,152.1,0.0,0.5,114.4,0.3,517.6,0.0
banana,fruit,106.3,g,93.2,1.2,0.3,24.1,2.7,3.1,9.1,0.0,0.1,5.2,0.3,375.0,1.0
yogurt,dairy,60.4,g,36.8,6.2,0.2,2.2,0.0,16.9,0.3,0.1,0.0,68.7,0.0,88.0,22.5
spinach,vegetable,464.0,g,107.3,13.5,1.9,18.7,10.3,2188.5,131.1,0.0,9.5,462.0,12.6,2603.8,368.6
banana,fruit,241.7,g,214.3,2.6,0.7,55.4,6.3,7.2,20.9,0.0,0.2,12.0,0.6,862.0,2.4
peanut,nut,372.4,g,2215.7,101.6,191.5,62.5,33.2,0.0,0.0,0.0,32.6,359.5,17.9,2755.0,70.3
orange,fruit,392.7,g,191.6,3.7,0.4,48.9,9.8,917.0,216.8,0.0,0.7,163.0,0.4,737.7,0.0
tofu,protein,352.0,g,261.0,27.5,16.5,6.5,1.0,0.0,0.0,0.0,0.0,446.5,4.8,415.6,24.0
tofu,protein,28.9,g,22.9,2.4,1.4,0.6,0.1,0.0,0.0,0.0,0.0,39.1,0.4,36.4,2.1
banana,fruit,186.6,g,163.4,2.0,0.6,42.2,4.8,5.5,16.0,0.0,0.2,9.2,0.5,657.4,1.8
salmon,protein,307.1,g,665.7,80.0,38.4,0.0,0.0,476.8,12.5,35.2,11.4,28.8,1.1,1161.7,188.8
carrot,vegetable,319.8,g,130.1,2.9,0.6,31.7,8.9,2649.9,18.7,0.0,2.1,104.7,1.0,1015.5,219.0
apple,fruit,418.4,g,221.3,1.3,0.9,59.6,10.2,12.8,19.6,0.0,0.8,25.5,0.5,455.3,4.3
strawberry,fruit,428.9,g,134.2,2.9,1.3,33.6,8.4,4.2,246.6,0.0,1.2,67.1,1.7,641.8,4.2
walnut,nut,278.0,g,1786.7,41.0,177.6,38.2,18.3,0.0,3.6,0.0,1.9,267.7,8.0,1204.8,5.5
broccoli,vegetable,76.8,g,25.2,2.1,0.3,5.2,1.9,461.6,66.1,0.0,0.6,34.8,0.5,234.1,24.5
pasta,grain,146.9,g,201.3,7.7,1.7,38.4,2.8,0.0,0.0,0.0,0.1,10.8,2.0,67.6,9.2
banana,fruit,380.9,g,328.5,4.1,1.1,84.9,9.6,11.1,32.1,0.0,0.4,18.5,1.0,1321.5,3.7
strawberry,fruit,345.5,g,114.6,2.5,1.1,28.7,7.2,3.6,210.6,0.0,1.0,57.3,1.5,548.1,3.6
almond,nut,228.4,g,1375.1,49.9,118.8,52.3,29.7,0.0,0.0,0.0,60.9,638.9,8.8,1740.9,2.4
milk,dairy,48.7,g,20.1,1.6,0.5,2.4,0.0,22.0,0.4,0.6,0.0,54.1,0.0,71.8,21.1
cucumber,vegetable,139.0,g,21.6,0.9,0.1,5.4,0.7,142.0,3.8,0.0,0.0,21.6,0.4,198.8,2.7
sunflower_seed,nut,340.7,g,2009.4,72.3,175.5,68.8,29.6,0.0,4.8,0.0,121.0,268.4,18.1,2219.3,31.0
pasta,grain,178.7,g,233.0,8.9,2.0,44.5,3.2,0.0,0.0,0.0,0.1,12.4,2.3,78.2,10.7
broccoli,vegetable,283.7,g,99.8,8.2,1.2,20.6,7.6,1829.0,261.9,0.0,2.3,138.0,2.1,927.7,96.9
quinoa,grain,294.4,g,357.7,13.1,5.7,65.6,8.3,0.0,0.0,0.0,1.9,50.7,4.4,512.8,20.9
beef,protein,339.7,g,868.0,90.3,52.1,0.0,0.0,0.0,0.0,0.0,0.4,62.5,9.0,1104.1,250.0
cheese,dairy,92.1,g,376.7,23.4,30.9,1.2,0.0,248.3,0.0,0.6,0.2,675.7,0.6,91.8,582.0
yogurt,dairy,357.8,g,211.9,35.9,1.4,12.9,0.0,97.0,1.8,0.4,0.2,395.0,0.3,506.3,129.3
chicken_breast,protein,178.2,g,285.6,53.7,6.2,0.0,0.0,10.4,0.0,0.0,0.4,26.0,1.8,443.2,128.1
yogurt,dairy,161.0,g,91.3,15.5,0.6,5.6,0.0,41.8,0.8,0.2,0.1,170.2,0.1,218.2,55.7
egg,protein,129.7,g,197.3,16.5,14.0,1.4,0.0,203.6,0.0,2.5,1.3,71.3,2.2,175.6,157.8
peanut,nut,265.2,g,1512.1,69.3,130.7,42.7,22.7,0.0,0.0,0.0,22.2,245.4,12.2,1880.2,48.0
sunflower_seed,nut,252.3,g,1420.0,51.1,124.0,48.6,20.9,0.0,3.4,0.0,85.5,189.7,12.8,1568.3,21.9
rice,grain,143.1,g,177.8,3.7,0.4,38.3,0.5,0.0,0.0,0.0,0.2,13.7,0.3,47.9,1.4
yogurt,dairy,400.0,g,224.3,38.0,1.5,13.7,0.0,102.7,1.9,0.4,0.2,418.3,0.3,536.1,136.9
cucumber,vegetable,447.4,g,68.7,3.0,0.4,17.2,2.1,451.1,12.0,0.0,0.1,68.7,1.2,631.5,8.6
chia_seed,nut,389.6,g,1979.0,69.2,126.2,171.0,140.1,0.0,6.5,0.0,2.0,2569.4,31.4,1657.3,65.2
cucumber,vegetable,476.8,g,78.0,3.4,0.5,19.5,2.4,512.2,13.7,0.0,0.1,78.0,1.4,717.1,9.8
salmon,protein,352.7,g,723.2,86.9,41.7,0.0,0.0,518.1,13.6,38.2,12.3,31.3,1.2,1262.2,205.2
peanut,nut,283.8,g,1615.5,74.1,139.6,45.6,24.2,0.0,0.0,0.0,23.7,262.1,13.0,2008.7,51.3
grape,fruit,365.8,g,221.4,2.1,0.7,57.1,3.2,10.7,11.4,0.0,0.7,35.7,1.3,682.1,7.1
quinoa,grain,274.5,g,336.4,12.3,5.3,61.7,7.8,0.0,0.0,0.0,1.8,47.7,4.2,482.2,19.6
almond,nut,191.5,g,1152.2,41.8,99.5,43.8,24.9,0.0,0.0,0.0,51.0,535.3,7.4,1458.6,2.0
chia_seed,nut,401.3,g,1940.3,67.9,123.8,167.7,137.3,0.0,6.4,0.0,2.0,2519.2,30.8,1624.9,63.9
quinoa,grain,175.3,g,203.9,7.5,3.2,37.4,4.8,0.0,0.0,0.0,1.1,28.9,2.5,292.2,11.9
chicken_breast,protein,407.8,g,665.4,125.0,14.5,0.0,0.0,24.2,0.0,0.0,0.9,60.5,4.2,1032.4,298.4
grape,fruit,122.9,g,79.0,0.8,0.3,20.4,1.1,3.8,4.1,0.0,0.2,12.7,0.5,243.4,2.5
rice,grain,394.9,g,518.0,10.8,1.2,111.6,1.6,0.0,0.0,0.0,0.4,39.8,0.8,139.5,4.0
cheese,dairy,332.6,g,1363.8,84.8,112.0,4.4,0.0,899.1,0.0,2.0,0.7,2446.1,2.3,332.5,2106.8
egg,protein,191.3,g,310.5,26.0,22.0,2.2,0.0,320.5,0.0,4.0,2.1,112.2,3.5,276.4,248.4
strawberry,fruit,304.0,g,94.6,2.1,0.9,23.7,5.9,3.0,173.9,0.0,0.9,47.3,1.2,452.5,3.0
walnut,nut,264.2,g,1788.1,41.0,177.7,38.3,18.3,0.0,3.6,0.0,1.9,267.9,8.0,1205.7,5.5
butter,dairy,307.1,g,2118.9,2.7,239.4,0.3,0.0,2021.4,0.0,4.4,6.9,70.9,0.1,70.9,32.5
yogurt,dairy,255.7,g,148.7,25.2,1.0,9.1,0.0,68.1,1.3,0.3,0.2,277.3,0.2,355.4,90.8
tomato,vegetable,364.0,g,64.1,3.2,0.7,14.2,4.3,2966.7,48.8,0.0,1.9,35.6,1.0,844.1,17.8
beef,protein,49.1,g,122.5,12.7,7.4,0.0,0.0,0.0,0.0,0.0,0.1,8.8,1.3,155.9,35.3
apple,fruit,33.2,g,17.3,0.1,0.1,4.7,0.8,1.0,1.5,0.0,0.1,2.0,0.0,35.6,0.3
milk,dairy,319.3,g,134.5,10.9,3.2,16.0,0.0,147.3,2.9,3.8,0.3,361.9,0.1,480.5,140.9
orange,fruit,154.1,g,70.3,1.3,0.1,17.9,3.6,336.4,79.5,0.0,0.3,59.8,0.1,270.6,0.0
tofu,protein,130.9,g,102.1,10.8,6.5,2.6,0.4,0.0,0.0,0.0,0.0,174.7,1.9,162.6,9.4
tofu,protein,27.9,g,21.1,2.2,1.3,0.5,0.1,0.0,0.0,0.0,0.0,36.1,0.4,33.6,1.9
spinach,vegetable,65.8,g,15.0,1.9,0.3,2.6,1.4,305.6,18.3,0.0,1.3,64.5,1.8,363.6,51.5
tomato,vegetable,52.6,g,9.8,0.5,0.1,2.2,0.7,452.0,7.4,0.0,0.3,5.4,0.1,128.6,2.7
cream,dairy,200.2,g,657.7,4.1,71.6,5.4,0.0,187.6,1.2,1.0,1.5,125.7,0.1,183.8,83.2
yogurt,dairy,250.0,g,148.3,25.1,1.0,9.1,0.0,67.9,1.3,0.3,0.2,276.6,0.2,354.5,90.5
butter,dairy,165.9,g,1201.7,1.5,135.8,0.2,0.0,1146.4,0.0,2.5,3.9,40.2,0.0,40.2,18.4
pasta,grain,256.8,g,351.3,13.4,3.0,67.1,4.8,0.0,0.0,0.0,0.2,18.8,3.5,118.0,16.1
cucumber,vegetable,174.5,g,28.2,1.2,0.2,7.0,0.9,184.8,4.9,0.0,0.1,28.2,0.5,258.7,3.5
almond,nut,66.5,g,375.6,13.6,32.4,14.3,8.1,0.0,0.0,0.0,16.6,174.5,2.4,475.5,0.6
broccoli,vegetable,213.8,g,74.9,6.2,0.9,15.4,5.7,1372.5,196.5,0.0,1.7,103.5,1.6,696.2,72.7
salmon,protein,451.1,g,925.5,111.2,53.4,0.0,0.0,663.0,17.4,48.9,15.8,40.0,1.5,1615.1,262.5
butter,dairy,200.4,g,1375.3,1.7,155.4,0.2,0.0,1312.0,0.0,2.9,4.5,46.0,0.0,46.0,21.1
cucumber,vegetable,65.1,g,10.4,0.5,0.1,2.6,0.3,68.4,1.8,0.0,0.0,10.4,0.2,95.8,1.3
bread,grain,165.2,g,437.7,14.9,5.3,80.9,4.5,0.0,0.0,0.0,0.4,80.9,5.9,189.9,811.0
tofu,protein,390.3,g,294.5,31.0,18.6,7.4,1.2,0.0,0.0,0.0,0.0,503.7,5.4,468.8,27.1
cream,dairy,43.2,g,154.2,1.0,16.8,1.3,0.0,44.0,0.3,0.2,0.3,29.5,0.0,43.1,19.5
bread,grain,248.2,g,643.5,21.9,7.8,119.0,6.6,0.0,0.0,0.0,0.5,119.0,8.7,279.2,1192.3
tomato,vegetable,267.9,g,49.8,2.5,0.6,11.1,3.3,2302.7,37.9,0.0,1.5,27.6,0.7,655.1,13.8
butter,dairy,53.9,g,382.4,0.5,43.2,0.1,0.0,364.8,0.0,0.8,1.2,12.8,0.0,12.8,5.9
grape,fruit,208.1,g,132.5,1.3,0.4,34.2,1.9,6.4,6.8,0.0,0.4,21.4,0.8,408.1,4.3
cucumber,vegetable,483.7,g,79.1,3.5,0.5,19.8,2.5,519.2,13.8,0.0,0.1,79.1,1.4,726.8,9.9
cucumber,vegetable,385.3,g,61.1,2.7,0.4,15.3,1.9,400.7,10.7,0.0,0.1,61.1,1.1,560.9,7.6
yogurt,dairy,477.8,g,285.9,48.5,1.9,17.4,0.0,130.9,2.4,0.5,0.3,533.1,0.3,683.4,174.5
strawberry,fruit,194.8,g,59.6,1.3,0.6,14.9,3.7,1.9,109.5,0.0,0.5,29.8,0.8,285.0,1.9
tomato,vegetable,138.5,g,24.3,1.2,0.3,5.4,1.6,1125.7,18.5,0.0,0.7,13.5,0.4,320.3,6.8
yogurt,dairy,103.2,g,60.4,10.2,0.4,3.7,0.0,27.7,0.5,0.1,0.1,112.7,0.1,144.4,36.9
broccoli,vegetable,348.4,g,115.7,9.5,1.4,23.8,8.8,2120.0,303.5,0.0,2.7,159.9,2.5,1075.3,112.3
pasta,grain,107.6,g,140.6,5.4,1.2,26.8,1.9,0.0,0.0,0.0,0.1,7.5,1.4,47.2,6.4
almond,nut,232.6,g,1281.1,46.5,110.6,48.7,27.7,0.0,0.0,0.0,56.7,595.2,8.2,1621.8,2.2
butter,dairy,65.2,g,482.0,0.6,54.5,0.1,0.0,459.8,0.0,1.0,1.6,16.1,0.0,16.1,7.4
chicken_breast,protein,105.9,g,168.1,31.6,3.7,0.0,0.0,6.1,0.0,0.0,0.2,15.3,1.1,260.8,75.4
tofu,protein,439.7,g,341.3,35.9,21.6,8.5,1.3,0.0,0.0,0.0,0.0,583.8,6.3,543.4,31.4
banana,fruit,246.6,g,229.9,2.8,0.8,59.4,6.7,7.7,22.5,0.0,0.3,12.9,0.7,924.8,2.6
milk,dairy,474.8,g,195.7,15.8,4.7,23.3,0.0,214.4,4.2,5.6,0.4,526.6,0.1,699.0,205.0
butter,dairy,182.5,g,1303.0,1.6,147.2,0.2,0.0,1243.1,0.0,2.7,4.2,43.6,0.0,43.6,20.0
strawberry,fruit,39.6,g,13.2,0.3,0.1,3.3,0.8,0.4,24.3,0.0,0.1,6.6,0.2,63.3,0.4
cucumber,vegetable,397.7,g,65.8,2.9,0.4,16.5,2.1,432.0,11.5,0.0,0.1,65.8,1.2,604.7,8.2
chicken_breast,protein,360.5,g,566.4,106.4,12.4,0.0,0.0,20.6,0.0,0.0,0.8,51.5,3.6,878.8,254.0
yogurt,dairy,313.4,g,177.2,30.0,1.2,10.8,0.0,81.1,1.5,0.3,0.2,330.4,0.2,423.5,108.1
peanut,nut,356.0,g,1960.7,89.9,169.4,55.3,29.4,0.0,0.0,0.0,28.8,318.1,15.8,2437.9,62.2
salmon,protein,310.1,g,622.3,74.8,35.9,0.0,0.0,445.8,11.7,32.9,10.6,26.9,1.0,1086.1,176.5
beef,protein,433.4,g,1099.9,114.4,66.0,0.0,0.0,0.0,0.0,0.0,0.5,79.2,11.4,1399.1,316.8
egg,protein,81.4,g,128.1,10.7,9.1,0.9,0.0,132.2,0.0,1.7,0.9,46.3,1.4,114.0,102.5
cheese,dairy,331.5,g,1347.6,83.8,110.6,4.4,0.0,888.4,0.0,2.0,0.7,2417.0,2.3,328.5,2081.8
tomato,vegetable,56.3,g,10.2,0.5,0.1,2.3,0.7,471.0,7.7,0.0,0.3,5.7,0.2,134.0,2.8
broccoli,vegetable,462.1,g,162.1,13.3,1.9,33.4,12.4,2969.6,425.2,0.0,3.7,224.0,3.5,1506.2,157.3
cucumber,vegetable,158.5,g,26.3,1.2,0.2,6.6,0.8,172.8,4.6,0.0,0.0,26.3,0.5,242.0,3.3
beef,protein,138.9,g,353.1,36.7,21.2,0.0,0.0,0.0,0.0,0.0,0.2,25.4,3.7,449.1,101.7
egg,protein,174.2,g,269.1,22.6,19.1,1.9,0.0,277.7,0.0,3.5,1.8,97.2,3.0,239.6,215.3
butter,dairy,82.8,g,581.4,0.7,65.7,0.1,0.0,554.7,0.0,1.2,1.9,19.5,0.0,19.5,8.9
yogurt,dairy,271.3,g,154.5,26.2,1.0,9.4,0.0,70.7,1.3,0.3,0.2,288.0,0.2,369.2,94.3
walnut,nut,152.0,g,987.9,22.7,98.2,21.1,10.1,0.0,2.0,0.0,1.1,148.0,4.4,666.1,3.0
spinach,vegetable,326.2,g,76.2,9.6,1.3,13.3,7.3,1554.0,93.1,0.0,6.7,328.0,9.0,1848.9,261.8
pasta,grain,239.7,g,306.2,11.7,2.6,58.4,4.2,0.0,0.0,0.0,0.1,16.4,3.0,102.9,14.0
yogurt,dairy,33.3,g,18.7,3.2,0.1,1.1,0.0,8.6,0.2,0.0,0.0,34.9,0.0,44.8,11.4
chia_seed,nut,243.8,g,1211.5,42.4,77.3,104.7,85.8,0.0,4.0,0.0,1.2,1573.0,19.2,1014.6,39.9
strawberry,fruit,32.5,g,10.8,0.2,0.1,2.7,0.7,0.3,19.9,0.0,0.1,5.4,0.1,51.9,0.3
pasta,grain,132.3,g,181.7,6.9,1.5,34.7,2.5,0.0,0.0,0.0,0.1,9.7,1.8,61.0,8.3
bread,grain,310.9,g,851.9,28.9,10.3,157.5,8.7,0.0,0.0,0.0,0.7,157.5,11.6,369.7,1578.5
orange,fruit,330.3,g,156.4,3.0,0.3,39.9,8.0,748.8,177.1,0.0,0.6,133.1,0.3,602.4,0.0
quinoa,grain,414.3,g,514.6,18.9,8.1,94.3,12.0,0.0,0.0,0.0,2.7,72.9,6.4,737.6,30.0
walnut,nut,439.7,g,2826.0,64.8,280.9,60.5,29.0,0.0,5.6,0.0,3.0,423.5,12.6,1905.6,8.6
egg,protein,134.9,g,199.2,16.7,14.1,1.4,0.0,205.6,0.0,2.6,1.3,72.0,2.2,177.4,159.4
strawberry,fruit,77.4,g,25.1,0.5,0.2,6.3,1.6,0.8,46.1,0.0,0.2,12.6,0.3,120.0,0.8
spinach,vegetable,487.3,g,107.3,13.5,1.9,18.7,10.3,2187.2,131.0,0.0,9.5,461.7,12.6,2602.2,368.4
cream,dairy,270.8,g,885.8,5.5,96.4,7.3,0.0,252.7,1.6,1.3,2.0,169.3,0.1,247.5,112.0
chia_seed,nut,260.9,g,1309.0,45.8,83.5,113.1,92.7,0.0,4.3,0.0,1.3,1699.5,20.8,1096.2,43.1
beef,protein,346.8,g,900.1,93.6,54.0,0.0,0.0,0.0,0.0,0.0,0.4,64.8,9.4,1145.0,259.2
beef,protein,349.6,g,848.4,88.2,50.9,0.0,0.0,0.0,0.0,0.0,0.4,61.1,8.8,1079.2,244.3
oatmeal,grain,40.7,g,26.5,0.9,0.5,4.7,0.7,0.0,0.0,0.0,0.0,19.1,0.2,23.7,19.1
bread,grain,118.4,g,327.8,11.1,4.0,60.6,3.3,0.0,0.0,0.0,0.3,60.6,4.5,142.3,607.4
tofu,protein,46.8,g,35.5,3.7,2.2,0.9,0.1,0.0,0.0,0.0,0.0,60.7,0.7,56.5,3.3
broccoli,vegetable,301.3,g,106.8,8.8,1.3,22.0,8.2,1956.9,280.2,0.0,2.5,147.6,2.3,992.6,103.7
sunflower_seed,nut,203.8,g,1145.1,41.2,100.0,39.2,16.9,0.0,2.7,0.0,69.0,152.9,10.3,1264.8,17.6
oatmeal,grain,369.0,g,254.8,9.0,5.2,45.0,6.4,0.0,0.0,0.0,0.3,183.6,2.2,228.6,183.6
spinach,vegetable,345.2,g,77.2,9.7,1.3,13.4,7.4,1574.3,94.3,0.0,6.8,332.3,9.1,1873.1,265.2
chia_seed,nut,408.3,g,1953.3,68.3,124.6,168.8,138.3,0.0,6.4,0.0,2.0,2536.1,31.0,1635.8,64.3
quinoa,grain,432.4,g,493.2,18.1,7.8,90.4,11.5,0.0,0.0,0.0,2.6,69.9,6.1,706.9,28.8
spinach,vegetable,124.3,g,27.8,3.5,0.5,4.8,2.7,567.0,34.0,0.0,2.5,119.7,3.3,674.6,95.5
tofu,protein,123.6,g,90.1,9.5,5.7,2.3,0.4,0.0,0.0,0.0,0.0,154.2,1.7,143.5,8.3
oatmeal,grain,203.4,g,136.1,4.8,2.8,24.0,3.4,0.0,0.0,0.0,0.2,98.1,1.2,122.1,98.1
sunflower_seed,nut,345.5,g,1963.2,70.6,171.4,67.2,28.9,0.0,4.7,0.0,118.2,262.2,17.6,2168.3,30.3
oatmeal,grain,40.9,g,27.3,1.0,0.6,4.8,0.7,0.0,0.0,0.0,0.0,19.6,0.2,24.4,19.6
rice,grain,473.2,g,626.7,13.0,1.4,135.0,1.9,0.0,0.0,0.0,0.5,48.2,1.0,168.7,4.8
rice,grain,167.1,g,207.8,4.3,0.5,44.8,0.6,0.0,0.0,0.0,0.2,16.0,0.3,56.0,1.6
